date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:03	7694/7694	---M-Z	200	added ('OK')	text/html	etag:W/%2269bb5e2e-1e0e%22	https://engghina7-bit.github.io/info-matrix/login.html	C:/My%20Web%20Sites/ahmad/engghina7-bit.github.io/info-matrix/login.html	(from )
17:11:03	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269b0b3ec-239b%22	https://engghina7-bit.github.io/robots.txt		(from )
17:11:04	916/916	---MC-	200	added ('OK')	text/css	date:Thu,%2019%20Mar%202026%2015:11:03%20GMT	https://fonts.googleapis.com/css2?family=Cairo:wght@400;600;800;900&display=swap	C:/My%20Web%20Sites/ahmad/fonts.googleapis.com/css2e411.css	(from https://engghina7-bit.github.io/info-matrix/login.html)
17:11:04	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/ahmad/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://engghina7-bit.github.io/info-matrix/login.html)
17:11:05	10350/10350	---M-Z	200	added ('OK')	text/html	etag:W/%2269bb5e2e-286e%22	https://engghina7-bit.github.io/info-matrix/index.html	C:/My%20Web%20Sites/ahmad/engghina7-bit.github.io/info-matrix/index.html	(from https://engghina7-bit.github.io/info-matrix/login.html)
17:11:05	71515/71515	---M--	200	added ('OK')	image/jpeg	etag:%2269bb5e2e-1175b%22	https://engghina7-bit.github.io/info-matrix/img/photo_2_2026-03-18_22-23-47.jpg	C:/My%20Web%20Sites/ahmad/engghina7-bit.github.io/info-matrix/img/photo_2_2026-03-18_22-23-47.jpg	(from https://engghina7-bit.github.io/info-matrix/login.html)
17:11:05	16048/16048	---M-Z	200	added ('OK')	text/html	etag:W/%2269bb5e2e-3eb0%22	https://engghina7-bit.github.io/info-matrix/dashboard.html	C:/My%20Web%20Sites/ahmad/engghina7-bit.github.io/info-matrix/dashboard.html	(from https://engghina7-bit.github.io/info-matrix/login.html)
17:11:06	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2019%20Mar%202026%2015:11:05%20GMT	https://fonts.googleapis.com/robots.txt		(from https://engghina7-bit.github.io/info-matrix/login.html)
17:11:06	916/916	---MC-	200	added ('OK')	text/css	date:Thu,%2019%20Mar%202026%2015:11:06%20GMT	https://fonts.googleapis.com/css2?family=Cairo:wght@400;600;700;900&display=swap	C:/My%20Web%20Sites/ahmad/fonts.googleapis.com/css264f9.css	(from https://engghina7-bit.github.io/info-matrix/index.html)
17:11:07	9115/9115	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269b0b3ec-239b%22	https://engghina7-bit.github.io/img/photo_2_2026-03-18_22-23-47.jpg	C:/My%20Web%20Sites/ahmad/engghina7-bit.github.io/img/photo_2_2026-03-18_22-23-47.jpg	(from https://engghina7-bit.github.io/info-matrix/index.html)
17:11:07	51559/51559	---M-Z	200	added ('OK')	text/html	etag:W/%2269bb5e2e-c967%22	https://engghina7-bit.github.io/info-matrix/simulator.html	C:/My%20Web%20Sites/ahmad/engghina7-bit.github.io/info-matrix/simulator.html	(from https://engghina7-bit.github.io/info-matrix/dashboard.html)
17:11:07	67471/67471	---M-Z	200	added ('OK')	text/html	etag:W/%2269bb5e2e-1078f%22	https://engghina7-bit.github.io/info-matrix/class_registration.html	C:/My%20Web%20Sites/ahmad/engghina7-bit.github.io/info-matrix/class_registration.html	(from https://engghina7-bit.github.io/info-matrix/dashboard.html)
17:11:07	93725/93725	---M-Z	200	added ('OK')	text/html	etag:W/%2269bb5e2e-16e1d%22	https://engghina7-bit.github.io/info-matrix/admin.html	C:/My%20Web%20Sites/ahmad/engghina7-bit.github.io/info-matrix/admin.html	(from https://engghina7-bit.github.io/info-matrix/dashboard.html)
17:11:08	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269a01f78-24a3%22	https://engghina7-bit.github.io/info-matrix/logo.jpg	C:/My%20Web%20Sites/ahmad/engghina7-bit.github.io/info-matrix/logo.jpg	(from https://engghina7-bit.github.io/info-matrix/simulator.html)
17:11:08	198689/198689	---M-Z	200	added ('OK')	application/javascript	etag:%2261ec4640-b567%22	https://cdnjs.cloudflare.com/ajax/libs/html2canvas/1.4.1/html2canvas.min.js	C:/My%20Web%20Sites/ahmad/cdnjs.cloudflare.com/ajax/libs/html2canvas/1.4.1/html2canvas.min.js	(from https://engghina7-bit.github.io/info-matrix/class_registration.html)
17:11:08	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://engghina7-bit.github.io/info-matrix/%d8%ac%d8%af%d9%88%d9%84%d9%8a_%d8%a7%d9%84%d8%ac%d8%a7%d9%85%d8%b9%d9%8a_infoMatrix.png	C:/My%20Web%20Sites/ahmad/engghina7-bit.github.io/info-matrix/%d8%ac%d8%af%d9%88%d9%84%d9%8a_%d8%a7%d9%84%d8%ac%d8%a7%d9%85%d8%b9%d9%8a_infoMatrix.png	(from https://engghina7-bit.github.io/info-matrix/class_registration.html)
